"CD_SETOR";"AREA_KM2";"POPULACAO";"POPULACAO_INFANTIL";"POPULACAO_IDOSA";"POPULACAO_ADULTA";"POPULACAO_EQUIVALENTE";"DENSIDADE_HAB_KM2";"RENDA_MEDIA";"SITUACAO_COBERTURA";"DISTANCIA_UBS_M";"CNES";"NOME FANTASIA";"NIVEL_REFERENCIA";"PESO_COMPLEXIDADE";"CAPACIDADE/MES";"INDICE_SOBRECARGA";"CLASSIFICACAO"
"211130005000101";"0.0628237";"980";"51";"153.0";"776";"1127.9";"15599.208578928017";"1692.52";"Coberto";"1258.9";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000102";"0.8346471";"859";"50";"143.0";"666";"998.4";"1029.1774811174687";"3066.99";"Coberto";"545.58";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000103";"0.0295795";"428";"19";"85.0";"324";"505.5";"14469.480552409606";"1881.01";"Coberto";"563.86";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000104";"0.1186217";"833";"33";"172.0";"628";"987.1";"7022.323908694615";"3268.17";"Coberto";"727.13";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000105";"0.0673716";"381";"24";"73.0";"284";"451.4";"5655.201895160571";"1754.12";"Coberto";"530.65";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000106";"0.0229255";"455";"25";"77.0";"353";"529.1";"19846.895378508645";"1218.79";"Coberto";"526.48";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000107";"0.0404247";"505";"20";"106.0";"379";"599.8";"12492.362342825054";"1916.06";"Coberto";"319.98";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000108";"0.0936217";"1117";"62";"187.0";"868";"1297.6";"11930.994630518351";"1533.38";"Coberto";"446.03";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000109";"0.3246529";"810";"41";"126.0";"643";"931.3";"2494.9723227483873";"1252.58";"Coberto";"620.37";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000110";"0.0550478";"881";"41";"170.0";"670";"1037.5";"16004.272650314817";"3165.02";"Coberto";"318.25";"724203";"UBS VEREADOR BATISTA MATOS ALEMANHA";"I";"0.8";"3000";"5.7863";"Sobrecarregado"
"211130005000113";"0.0683907";"820";"56";"117.0";"647";"941.6";"11989.934303933138";"1931.64";"Coberto";"326.46";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000114";"0.0920387";"685";"22";"148.0";"515";"814.4";"7442.521461081045";"2336.95";"Coberto";"364.59";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000116";"0.049636";"818";"37";"154.0";"627";"959.7";"16479.97421226529";"1694.82";"Coberto";"233.48";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
"211130005000118";"0.0680599";"641";"32";"95.0";"514";"733";"9418.174284710967";"1942.16";"Coberto";"987.03";"2455838";"CENTRO DE SAUDE DO JOAO PAULO";"I";"0.8";"3000";"13.5985";"Sobrecarregado"
